complexity,accuracy,distortion,mse,gNID,eps,beta,run,point_type,round,universe,prior,num_signals,distance,discriminative_need_gamma,meaning_dist_gamma,dynamics,imprecise_imitation_gamma,population_init_gamma,seed,ib_bound_function
1.5160942,1.5408955,0.37113237,2.30166,,,,1.0,trajectory,83.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161023,1.540904,0.3711238,2.301633,,,,1.0,trajectory,84.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161142,1.540915,0.37111282,2.301598,,,,1.0,trajectory,85.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.516129,1.5409307,0.3710971,2.3015554,,,,1.0,trajectory,86.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.516149,1.5409508,0.37107706,2.3015041,,,,1.0,trajectory,87.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161724,1.5409741,0.3710537,2.3014452,,,,1.0,trajectory,88.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5162001,1.5410013,0.37102652,2.3013778,,,,1.0,trajectory,89.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5162315,1.5410309,0.37099695,2.3013022,,,,1.0,trajectory,90.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5162668,1.5410657,0.37096214,2.3012192,,,,1.0,trajectory,91.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5163064,1.5411038,0.370924,2.301129,,,,1.0,trajectory,92.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5163493,1.5411453,0.3708825,2.3010318,,,,1.0,trajectory,93.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5163951,1.5411887,0.37083912,2.3009288,,,,1.0,trajectory,94.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
