complexity,mse
4.993682,0.5820727
4.9952564,0.5808078
4.996827,0.5795476
4.998393,0.578292
4.999961,0.5770411
5.001524,0.5757948
5.003084,0.5745532
5.0046415,0.57331634
5.006197,0.57208407
5.007762,0.5708466
5.0093126,0.5696237
5.0108595,0.5684055
5.0124025,0.56719196
5.013957,0.5659732
5.0154953,0.5647691
5.01703,0.56356955
5.018564,0.5623747
5.020094,0.5611846
5.0216208,0.559999
5.023157,0.5588083
5.024678,0.557632
5.0261955,0.55646044
5.027725,0.5552836
5.1069975,0.49737167
5.354394,0.3511374
5.563979,0.25809163
5.756999,0.18929747
5.9326744,0.13694741
6.086136,0.09764938
6.214654,0.068796195
6.318572,0.048028003
6.400319,0.03330733
6.4632874,0.0229898
6.511015,0.015815925
6.5467443,0.010855663
6.573232,0.00743925
6.5927167,0.0050924663
6.606963,0.0034833862
6.6173253,0.002381508
6.6248293,0.0016276082
6.630244,0.0011120992
6.634139,0.000759741
6.636932,0.0005189659
6.6389313,0.00035446952
6.640361,0.00024210065
6.641377,0.00016534755
6.6420994,0.00011292471
6.642614,7.712098e-05
6.6429787,5.266856e-05
6.643236,3.5968897e-05
6.6434193,2.4564051e-05
6.6435485,1.6775353e-05
6.643638,1.14562345e-05
6.643703,7.823695e-06
6.6437483,5.342951e-06
6.6437798,3.6487986e-06
6.6438036,2.491831e-06
6.643818,1.7017171e-06
6.6438284,1.1621323e-06
6.643836,7.936409e-07
6.643843,5.419915e-07
6.6438465,3.7013518e-07
6.643849,2.527719e-07
6.6438503,1.7262239e-07
6.643853,1.1788677e-07
6.643852,8.050689e-08
6.6438537,5.4979626e-08
6.6438537,3.754652e-08
6.6438537,2.5641157e-08
6.6438546,1.7510812e-08
6.6438546,1.1958432e-08
6.6438546,8.166616e-09
6.6438546,5.5771316e-09
6.6438546,3.808718e-09
6.6438546,2.6010376e-09
6.6438546,1.7762962e-09
6.6438546,1.213063e-09
6.6438546,8.284212e-10
6.6438546,5.65744e-10
6.6438546,3.8635617e-10
6.6438546,2.6384922e-10
6.6438546,1.801871e-10
6.6438546,1.2305308e-10
6.6438546,8.4035015e-11
6.6438546,5.7388948e-11
6.6438546,3.919196e-11
6.6438546,2.6764854e-11
6.6438546,1.8278176e-11
6.6438546,1.2482499e-11
6.6438546,8.524509e-12
6.6438546,5.8215325e-12
6.6438546,3.9756315e-12
6.6438546,2.715026e-12
6.6438546,1.8541373e-12
6.6438546,1.2662243e-12
6.6438546,8.6472604e-13
6.6438546,5.9053603e-13
6.6438546,4.0328792e-13
6.6438546,2.7541215e-13
6.6438546,1.8808363e-13
6.6438546,1.2844576e-13
6.6438546,8.771777e-14
6.6438546,5.990396e-14
6.6438546,4.090943e-14
6.6438546,2.79378e-14
6.6438546,1.9079195e-14
6.6438546,1.3029506e-14
6.6438546,8.898071e-15
6.6438546,6.0766677e-15
6.6438546,4.149859e-15
6.6438546,2.8340092e-15
6.6438546,1.935393e-15
6.6438546,1.3217126e-15
6.6438546,9.0262e-16
6.6438546,6.164147e-16
6.6438546,4.209616e-16
6.6438546,2.8748182e-16
6.6438546,1.9632621e-16
6.6438546,1.340745e-16
6.6438546,9.1561754e-17
6.6438546,6.252908e-17
6.6438546,4.2702332e-17
6.6438546,2.9162147e-17
6.6438546,1.9915323e-17
6.6438546,1.3600512e-17
6.6438546,9.2880215e-18
6.6438546,6.3429467e-18
6.6438546,4.3317228e-18
6.6438546,2.9582074e-18
6.6438546,2.02021e-18
6.6438546,1.3796355e-18
6.6438546,9.421766e-19
6.6438546,6.434283e-19
6.6438546,4.394098e-19
6.6438546,3.000804e-19
6.6438546,2.0493002e-19
6.6438546,1.399502e-19
6.6438546,9.557436e-20
6.6438546,6.526935e-20
6.6438546,4.4573545e-20
6.6438546,3.044015e-20
6.6438546,2.0788094e-20
6.6438546,1.4196542e-20
6.6438546,9.695059e-21
6.6438546,6.62092e-21
6.6438546,4.5215397e-21
6.6438546,3.087848e-21
6.6438546,2.1087435e-21
6.6438546,1.4400966e-21
6.6438546,9.834666e-22
6.6438546,6.7162593e-22
6.6438546,4.586648e-22
6.6438546,3.1323114e-22
6.6438546,2.1391086e-22
6.6438546,1.4608336e-22
6.6438546,9.976281e-23
6.6438546,6.8129713e-23
6.6438546,4.6526944e-23
6.6438546,3.1774036e-23
6.6438546,2.169911e-23
6.6438546,1.4818692e-23
6.6438546,1.0119935e-23
6.6438546,6.911076e-24
6.6438546,4.719691e-24
6.6438546,3.2231577e-24
6.6438546,2.2011574e-24
6.6438546,1.5032077e-24
6.6438546,1.026566e-24
6.6438546,7.010594e-25
6.6438546,4.787653e-25
6.6438546,3.2695696e-25
6.6438546,2.2328533e-25
6.6438546,1.5248532e-25
6.6438546,1.0413482e-25
6.6438546,7.111544e-26
6.6438546,4.856594e-26
6.6438546,3.3166504e-26
6.6438546,2.2650055e-26
6.6438546,1.5468108e-26
6.6438546,1.05634315e-26
6.6438546,7.213948e-27
6.6438546,4.926527e-27
6.6438546,3.364409e-27
6.6438546,2.2976117e-27
6.6438546,1.5690842e-27
6.6438546,1.0715543e-27
6.6438546,7.317826e-28
6.6438546,4.9974675e-28
6.6438546,3.4128552e-28
6.6438546,2.3306969e-28
6.6438546,1.5916785e-28
6.6438546,1.08698e-28
6.6438546,7.4232e-29
6.6438546,5.0694484e-29
6.6438546,3.4619993e-29
6.6438546,2.3642671e-29
6.6438546,1.6145921e-29
6.6438546,1.1026365e-29
6.6438546,7.530063e-30
6.6438546,5.1424274e-30
6.6438546,3.5118644e-30
6.6438546,2.3983028e-30
6.6438546,1.6378479e-30
6.6438546,1.1185098e-30
6.6438546,7.638522e-31
6.6438546,5.216457e-31
6.6438546,3.5624205e-31
6.6438546,2.4328466e-31
6.6438546,1.6614261e-31
6.6438546,1.1346203e-31
6.6438546,7.7484855e-32
6.6438546,5.2915924e-32
6.6438546,3.6137315e-32
6.6438546,2.4678696e-32
6.6438546,1.6853564e-32
6.6438546,1.150954e-32
6.6438546,7.860092e-33
6.6438546,5.367769e-33
6.6438546,3.665755e-33
6.6438546,2.5034156e-33
6.6438546,1.7096186e-33
6.6438546,1.167532e-33
6.6438546,7.973244e-34
6.6438546,5.445084e-34
6.6438546,3.7185267e-34
6.6438546,2.539454e-34
6.6438546,1.734243e-34
6.6438546,1.1843395e-34
6.6438546,8.0880865e-35
6.6438546,5.52347e-35
6.6438546,3.7720862e-35
6.6438546,2.5760313e-35
6.6438546,1.7592088e-35
6.6438546,1.2013981e-35
6.6438546,8.204521e-36
6.6438546,5.6030282e-36
6.6438546,3.826388e-36
6.6438546,2.6131155e-36
6.6438546,1.7845475e-36
6.6438546,1.2186933e-36
6.6438546,8.322696e-37
6.6438546,5.683687e-37
6.6438546,3.881502e-37
6.6438546,2.6507533e-37
6.6438546,1.8102373e-37
6.6438546,1.2362467e-37
6.6438546,8.4425066e-38
6.6438546,5.765555e-38
6.6438546,3.9373782e-38
6.6438546,2.6889146e-38
6.6438546,1.8363104e-38
6.6438546,1.2540427e-38
6.6438546,8.564097e-39
6.6438546,5.848548e-39
6.6438546,3.994076e-39
6.6438546,2.727616e-39
6.6438546,1.862747e-39
6.6438546,1.272114e-39
6.6438546,8.68739e-40
6.6438546,5.9325e-40
6.6438546,4.051e-40
6.6438546,2.76625e-40
6.6438546,1.88948e-40
6.6438546,1.29018e-40
6.6438546,8.8231e-41
6.6438546,6.0208e-41
6.6438546,4.1064e-41
6.6438546,2.8023e-41
6.6438546,1.9145e-41
6.6438546,1.304e-41
6.6438546,8.879e-42
6.6438546,6.104e-42
6.6438546,4.162e-42
6.6438546,2.775e-42
6.6438546,1.942e-42
6.6438546,1.387e-42
6.6438546,8.32e-43
6.6438546,5.55e-43
6.6438546,5.55e-43
6.6438546,2.77e-43
6.6438546,2.77e-43
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
6.6438546,0.0
